,Male,Female,Both,
AK,389154,349278,738432,
AL,2351746,2507233,4858979,
AR,1462298,1515906,2978204,
AZ,3393548,3434517,6828065,
CA,19454975,19689843,39144818,
CO,2744657,2711917,5456574,
CT,1752352,1838534,3590886,
DC,318636,353592,672228,
DE,457832,488102,945934,
FL,9912652,10358620,20271272,
GA,4984852,5230008,10214860,
HI,725823,705780,1431603,
IA,1552578,1571321,3123899,
ID,829120,825810,1654930,
IL,6314258,6545737,12859995,
IN,3263502,3356178,6619680,
KS,1452909,1458732,2911641,
KY,2177145,2247947,4425092,
LA,2283984,2386740,4670724,
MA,3295295,3499127,6794422,
MD,2913104,3093297,6006401,
ME,651371,677957,1329328,
MI,4881907.392,5040668.608,9922576,
MN,2728328,2761266,5489594,
MO,2987083,3096589,6083672,
MS,1451282,1541051,2992333,
MT,519573,513376,1032949,
NC,4890845,5151957,10042802,
ND,389060,367867,756927,
NE,944303,951887,1896190,
NH,657320,673288,1330608,
NJ,4371510,4586503,8958013,
NM,1034214,1050895,2085109,
NV,1451204,1439641,2890845,
NY,9620754,10175037,19795791,
OH,5690577,5922846,11613423,
OK,1936112,1975226,3911338,
OR,1994344,2034633,4028977,
PA,6260424,6542079,12802503,
RI,512305,543993,1056298,
SC,2379527,2516619,4896146,
SD,431810,426659,858469,
TN,3214346,3385953,6600299,
TX,13624681,13844433,27469114,
UT,1506947,1488972,2995919,
VA,4124433,4258560,8382993,
VT,308639,317403,626042,
WA,3585175,3585176,7170351,
WI,2868354,2902983,5771337,
WV,910999,933129,1844128,
WY,298915,287192,586107,
US,158138059.4,163280760.6,321418820,
